display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01734] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01734] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01735] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01737] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01737] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01738] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01739] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01740] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01741] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01741] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01742] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01746] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01747] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01748] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01748] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01749] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01750] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01751] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01751] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01752] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01754] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01755] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01755] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01756] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01757] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01758] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01759] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01759] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01760] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01761] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01762] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01762] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01763] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01764] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01765] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01766] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01767] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01768] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
